,country,year,fert,pop,life,continent
0,Afghanistan,1800,7.0,3280000.0,28.21,Asia
1,Afghanistan,1810,7.0,3280000.0,28.11,Asia
2,Afghanistan,1820,7.0,3323519.0,28.01,Asia
3,Afghanistan,1830,7.0,3448982.0,27.9,Asia
4,Afghanistan,1840,7.0,3625022.0,27.8,Asia
5,Afghanistan,1850,7.0,3810047.0,27.7,Asia
6,Afghanistan,1860,7.0,3973968.0,27.6,Asia
7,Afghanistan,1870,7.0,4169690.0,27.49,Asia
8,Afghanistan,1880,7.0,4419695.0,27.39,Asia
9,Afghanistan,1890,7.0,4710171.0,27.29,Asia
10,Afghanistan,1900,7.0,5021241.0,27.19,Asia
11,Afghanistan,1910,7.0,5351413.0,27.08,Asia
12,Afghanistan,1920,7.0,5813814.0,26.98,Asia
13,Afghanistan,1930,7.14,6394908.0,26.88,Asia
14,Afghanistan,1940,7.4,7034081.0,26.78,Asia
15,Afghanistan,1950,7.67,7752118.0,26.85,Asia
16,Afghanistan,1951,7.67,7839426.0,27.13,Asia
17,Afghanistan,1952,7.67,7934798.0,27.67,Asia
18,Afghanistan,1953,7.67,8038312.0,28.19,Asia
19,Afghanistan,1954,7.67,8150037.0,28.73,Asia
20,Afghanistan,1955,7.67,8270024.0,29.27,Asia
21,Afghanistan,1956,7.67,8398309.0,29.8,Asia
22,Afghanistan,1957,7.67,8534913.0,30.34,Asia
23,Afghanistan,1958,7.67,8679848.0,30.86,Asia
24,Afghanistan,1959,7.67,8833127.0,31.4,Asia
25,Afghanistan,1960,7.67,8994793.0,31.94,Asia
26,Afghanistan,1961,7.67,9164945.0,32.47,Asia
27,Afghanistan,1962,7.67,9343772.0,33.01,Asia
28,Afghanistan,1963,7.67,9531555.0,33.53,Asia
29,Afghanistan,1964,7.67,9728645.0,34.07,Asia
30,Afghanistan,1965,7.67,9935358.0,34.6,Asia
31,Afghanistan,1966,7.67,10148841.0,35.13,Asia
32,Afghanistan,1967,7.67,10368600.0,35.66,Asia
33,Afghanistan,1968,7.67,10599790.0,36.17,Asia
34,Afghanistan,1969,7.67,10849510.0,36.69,Asia
35,Afghanistan,1970,7.67,11121097.0,37.2,Asia
36,Afghanistan,1971,7.67,11412821.0,37.7,Asia
37,Afghanistan,1972,7.67,11716896.0,38.19,Asia
38,Afghanistan,1973,7.67,12022514.0,38.67,Asia
39,Afghanistan,1974,7.67,12315553.0,39.14,Asia
40,Afghanistan,1975,7.67,12582954.0,39.61,Asia
41,Afghanistan,1976,7.67,12831361.0,40.07,Asia
42,Afghanistan,1977,7.67,13056499.0,40.53,Asia
43,Afghanistan,1978,7.67,13222547.0,40.98,Asia
44,Afghanistan,1979,7.67,13283279.0,41.46,Asia
45,Afghanistan,1980,7.67,13211412.0,41.96,Asia
46,Afghanistan,1981,7.67,12996923.0,42.51,Asia
47,Afghanistan,1982,7.67,12667001.0,43.11,Asia
48,Afghanistan,1983,7.67,12279095.0,43.75,Asia
49,Afghanistan,1984,7.68,11912510.0,44.45,Asia
50,Afghanistan,1985,7.68,11630498.0,45.21,Asia
51,Afghanistan,1986,7.68,11438949.0,46.02,Asia
52,Afghanistan,1987,7.68,11337932.0,46.87,Asia
53,Afghanistan,1988,7.68,11375768.0,47.74,Asia
54,Afghanistan,1989,7.68,11608351.0,48.62,Asia
55,Afghanistan,1990,7.69,12067570.0,49.5,Asia
56,Afghanistan,1991,7.7,12789374.0,49.3,Asia
57,Afghanistan,1992,7.73,13745630.0,49.4,Asia
58,Afghanistan,1993,7.76,14824371.0,49.5,Asia
59,Afghanistan,1994,7.8,15869967.0,48.9,Asia
60,Afghanistan,1995,7.83,16772522.0,49.4,Asia
61,Afghanistan,1996,7.86,17481800.0,49.7,Asia
62,Afghanistan,1997,7.87,18034130.0,49.5,Asia
63,Afghanistan,1998,7.85,18511480.0,48.6,Asia
64,Afghanistan,1999,7.81,19038420.0,50.0,Asia
65,Afghanistan,2000,7.73,19701940.0,50.1,Asia
66,Afghanistan,2001,7.62,20531160.0,50.4,Asia
67,Afghanistan,2002,7.48,21487079.0,51.0,Asia
68,Afghanistan,2003,7.32,22507368.0,51.4,Asia
69,Afghanistan,2004,7.14,23499850.0,51.8,Asia
70,Afghanistan,2005,6.93,24399948.0,52.0,Asia
71,Afghanistan,2006,6.7,25183615.0,52.1,Asia
72,Afghanistan,2007,6.46,25877544.0,52.4,Asia
73,Afghanistan,2008,6.2,26528741.0,52.8,Asia
74,Afghanistan,2009,5.93,27207291.0,53.3,Asia
75,Afghanistan,2010,5.66,27962207.0,53.6,Asia
76,Afghanistan,2011,5.4,28809167.0,54.0,Asia
77,Afghanistan,2012,5.14,29726803.0,54.4,Asia
78,Afghanistan,2013,4.9,30682500.0,54.8,Asia
79,Afghanistan,2014,4.68,31627506.0,54.9,Asia
80,Afghanistan,2015,4.47,32526562.0,53.8,Asia
81,Albania,1800,4.6,410445.0,35.4,Europe
82,Albania,1810,4.6,423591.0,35.4,Europe
83,Albania,1820,4.6,438671.0,35.4,Europe
84,Albania,1830,4.6,457234.0,35.4,Europe
85,Albania,1840,4.6,478227.0,35.4,Europe
86,Albania,1850,4.6,506889.0,35.4,Europe
87,Albania,1860,4.6,552800.0,35.4,Europe
88,Albania,1870,4.6,610036.0,35.4,Europe
89,Albania,1880,4.6,672544.0,35.4,Europe
90,Albania,1890,4.6,741688.0,35.4,Europe
91,Albania,1900,4.6,819950.0,35.4,Europe
92,Albania,1910,4.6,901122.0,35.4,Europe
93,Albania,1920,4.6,963956.0,35.4,Europe
94,Albania,1930,3.72,1015991.0,36.29,Europe
95,Albania,1940,4.19,1123210.0,42.0,Europe
96,Albania,1950,5.8,1263171.0,54.48,Europe
97,Albania,1951,5.9,1287499.0,54.72,Europe
98,Albania,1952,6.07,1316086.0,55.23,Europe
99,Albania,1953,6.21,1348097.0,55.85,Europe
100,Albania,1954,6.31,1382881.0,56.59,Europe
101,Albania,1955,6.37,1419969.0,57.45,Europe
102,Albania,1956,6.4,1459089.0,58.42,Europe
103,Albania,1957,6.39,1500152.0,59.48,Europe
104,Albania,1958,6.35,1543224.0,60.6,Europe
105,Albania,1959,6.28,1588478.0,61.75,Europe
106,Albania,1960,6.19,1636054.0,62.87,Europe
107,Albania,1961,6.08,1685901.0,63.92,Europe
108,Albania,1962,5.96,1737645.0,64.84,Europe
109,Albania,1963,5.83,1790533.0,65.6,Europe
110,Albania,1964,5.71,1843596.0,66.18,Europe
111,Albania,1965,5.59,1896125.0,66.59,Europe
112,Albania,1966,5.48,1947786.0,66.88,Europe
113,Albania,1967,5.38,1998695.0,67.11,Europe
114,Albania,1968,5.27,2049147.0,67.32,Europe
115,Albania,1969,5.16,2099657.0,67.55,Europe
116,Albania,1970,5.05,2150602.0,67.83,Europe
117,Albania,1971,4.93,2202040.0,68.16,Europe
118,Albania,1972,4.81,2253842.0,68.53,Europe
119,Albania,1973,4.68,2305999.0,68.93,Europe
120,Albania,1974,4.54,2358467.0,69.35,Europe
121,Albania,1975,4.39,2411229.0,69.77,Europe
122,Albania,1976,4.24,2464338.0,70.17,Europe
123,Albania,1977,4.09,2517869.0,70.54,Europe
124,Albania,1978,3.95,2571845.0,70.86,Europe
125,Albania,1979,3.81,2626290.0,71.14,Europe
126,Albania,1980,3.68,2681245.0,71.39,Europe
127,Albania,1981,3.56,2735329.0,71.63,Europe
128,Albania,1982,3.46,2788315.0,71.88,Europe
129,Albania,1983,3.37,2842620.0,72.15,Europe
130,Albania,1984,3.3,2901590.0,72.42,Europe
131,Albania,1985,3.23,2966799.0,72.71,Europe
132,Albania,1986,3.18,3041003.0,72.96,Europe
133,Albania,1987,3.13,3121336.0,73.14,Europe
134,Albania,1988,3.08,3197064.0,73.25,Europe
135,Albania,1989,3.02,3253659.0,73.3,Europe
136,Albania,1990,2.97,3281453.0,73.3,Europe
137,Albania,1991,2.92,3275438.0,73.4,Europe
138,Albania,1992,2.87,3240613.0,73.6,Europe
139,Albania,1993,2.82,3189623.0,73.6,Europe
140,Albania,1994,2.77,3140634.0,73.6,Europe
141,Albania,1995,2.72,3106727.0,73.7,Europe
142,Albania,1996,2.67,3092034.0,73.8,Europe
143,Albania,1997,2.61,3092471.0,74.1,Europe
144,Albania,1998,2.54,3102898.0,74.2,Europe
145,Albania,1999,2.47,3114851.0,74.2,Europe
146,Albania,2000,2.38,3121965.0,74.7,Europe
147,Albania,2001,2.29,3124093.0,75.1,Europe
148,Albania,2002,2.2,3123112.0,75.5,Europe
149,Albania,2003,2.1,3117045.0,75.7,Europe
150,Albania,2004,2.0,3103758.0,75.9,Europe
151,Albania,2005,1.92,3082172.0,76.2,Europe
152,Albania,2006,1.85,3050741.0,76.4,Europe
153,Albania,2007,1.8,3010849.0,76.6,Europe
154,Albania,2008,1.76,2968026.0,76.8,Europe
155,Albania,2009,1.74,2929886.0,77.0,Europe
156,Albania,2010,1.74,2901883.0,77.2,Europe
157,Albania,2011,1.75,2886010.0,77.4,Europe
158,Albania,2012,1.76,2880667.0,77.5,Europe
159,Albania,2013,1.77,2883281.0,77.7,Europe
160,Albania,2014,1.78,2889676.0,77.9,Europe
161,Albania,2015,1.78,2896679.0,78.0,Europe
162,Algeria,1800,6.99,2503218.0,28.82,Africa
163,Algeria,1810,6.99,2595056.0,28.82,Africa
164,Algeria,1820,6.99,2713079.0,28.82,Africa
165,Algeria,1830,6.99,2880355.0,28.82,Africa
166,Algeria,1840,6.99,3082721.0,28.82,Africa
167,Algeria,1850,6.99,3299305.0,15.0,Africa
168,Algeria,1860,6.99,3536468.0,28.82,Africa
169,Algeria,1870,6.99,3811028.0,22.0,Africa
170,Algeria,1880,6.99,4143163.0,28.82,Africa
171,Algeria,1890,6.99,4525691.0,28.82,Africa
172,Algeria,1900,6.99,4946166.0,28.86,Africa
173,Algeria,1910,6.99,5404045.0,30.79,Africa
174,Algeria,1920,6.99,6063800.0,27.5,Africa
175,Algeria,1930,7.12,6876190.0,31.14,Africa
