,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,initial,initial2
0,Adelie,39.1,18.7,181.0,3750.0,MALE,M,A
1,Adelie,39.5,17.4,186.0,3800.0,FEMALE,F,A
2,Adelie,40.3,18.0,195.0,3250.0,FEMALE,F,A
3,Adelie,36.7,19.3,193.0,3450.0,FEMALE,F,A
4,Adelie,39.3,20.6,190.0,3650.0,MALE,M,A
5,Adelie,38.9,17.8,181.0,3625.0,FEMALE,F,A
6,Adelie,39.2,19.6,195.0,4675.0,MALE,M,A
7,Adelie,41.1,17.6,182.0,3200.0,FEMALE,F,A
8,Adelie,38.6,21.2,191.0,3800.0,MALE,M,A
9,Adelie,34.6,21.1,198.0,4400.0,MALE,M,A
10,Adelie,36.6,17.8,185.0,3700.0,FEMALE,F,A
11,Adelie,38.7,19.0,195.0,3450.0,FEMALE,F,A
12,Adelie,42.5,20.7,197.0,4500.0,MALE,M,A
13,Adelie,34.4,18.4,184.0,3325.0,FEMALE,F,A
14,Adelie,46.0,21.5,194.0,4200.0,MALE,M,A
15,Adelie,37.8,18.3,174.0,3400.0,FEMALE,F,A
16,Adelie,37.7,18.7,180.0,3600.0,MALE,M,A
17,Adelie,35.9,19.2,189.0,3800.0,FEMALE,F,A
18,Adelie,38.2,18.1,185.0,3950.0,MALE,M,A
19,Adelie,38.8,17.2,180.0,3800.0,MALE,M,A
20,Adelie,35.3,18.9,187.0,3800.0,FEMALE,F,A
21,Adelie,40.6,18.6,183.0,3550.0,MALE,M,A
22,Adelie,40.5,17.9,187.0,3200.0,FEMALE,F,A
23,Adelie,37.9,18.6,172.0,3150.0,FEMALE,F,A
24,Adelie,40.5,18.9,180.0,3950.0,MALE,M,A
25,Adelie,39.5,16.7,178.0,3250.0,FEMALE,F,A
26,Adelie,37.2,18.1,178.0,3900.0,MALE,M,A
27,Adelie,39.5,17.8,188.0,3300.0,FEMALE,F,A
28,Adelie,40.9,18.9,184.0,3900.0,MALE,M,A
29,Adelie,36.4,17.0,195.0,3325.0,FEMALE,F,A
30,Adelie,39.2,21.1,196.0,4150.0,MALE,M,A
31,Adelie,38.8,20.0,190.0,3950.0,MALE,M,A
32,Adelie,42.2,18.5,180.0,3550.0,FEMALE,F,A
33,Adelie,37.6,19.3,181.0,3300.0,FEMALE,F,A
34,Adelie,39.8,19.1,184.0,4650.0,MALE,M,A
35,Adelie,36.5,18.0,182.0,3150.0,FEMALE,F,A
36,Adelie,40.8,18.4,195.0,3900.0,MALE,M,A
37,Adelie,36.0,18.5,186.0,3100.0,FEMALE,F,A
38,Adelie,44.1,19.7,196.0,4400.0,MALE,M,A
39,Adelie,37.0,16.9,185.0,3000.0,FEMALE,F,A
40,Adelie,39.6,18.8,190.0,4600.0,MALE,M,A
41,Adelie,41.1,19.0,182.0,3425.0,MALE,M,A
42,Adelie,36.0,17.9,190.0,3450.0,FEMALE,F,A
43,Adelie,42.3,21.2,191.0,4150.0,MALE,M,A
44,Adelie,39.6,17.7,186.0,3500.0,FEMALE,F,A
45,Adelie,40.1,18.9,188.0,4300.0,MALE,M,A
46,Adelie,35.0,17.9,190.0,3450.0,FEMALE,F,A
