,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,title
0,1,0,3,3,0,22.0,1,0,A/5 21171,1.8125,3.0,3.0,mr
1,2,1,1,2,1,38.0,1,0,PC 17599,17.820825,C85,1.0,mrs
2,3,1,3,1,1,26.0,0,0,STON/O2. 3101282,7.925,3.0,3.0,miss
3,4,1,1,2,1,35.0,1,0,113803,13.275,C123,3.0,mrs
4,5,0,3,3,0,35.0,0,0,373450,8.05,3.0,3.0,mr
5,6,0,3,3,0,26.5,0,0,330877,8.4583,2.0,2.0,mr
6,7,0,1,3,0,54.0,0,0,17463,51.8625,E46,3.0,mr
7,8,0,3,6,0,2.0,3,1,349909,0.843,3.0,3.0,master
8,9,1,3,2,1,27.0,0,2,347742,1.2370333333333334,3.0,3.0,mrs
9,10,1,2,2,1,14.0,1,0,237736,7.5177,1.0,1.0,mrs
10,11,1,3,1,1,4.0,1,1,PP 9549,1.8555555555555554,G6,3.0,miss
11,12,1,1,1,1,58.0,0,0,113783,26.55,C103,3.0,miss
12,13,0,3,3,0,20.0,0,0,A/5. 2151,8.05,3.0,3.0,mr
13,14,0,3,3,0,39.0,1,5,347082,0.6382653061224489,3.0,3.0,mr
14,15,0,3,1,1,14.0,0,0,350406,7.8542,3.0,3.0,miss
15,16,1,2,2,1,55.0,0,0,248706,16.0,3.0,3.0,mrs
16,17,0,3,6,0,2.0,4,1,382652,0.8090277777777778,2.0,2.0,master
17,18,1,2,3,0,30.7,0,0,244373,13.0,3.0,3.0,mr
18,19,0,3,2,1,31.0,1,0,345763,4.5,3.0,3.0,mrs
19,20,1,3,2,1,21.8,0,0,2649,7.225,1.0,1.0,mrs
20,21,0,2,3,0,35.0,0,0,239865,26.0,3.0,3.0,mr
21,22,1,2,3,0,34.0,0,0,248698,13.0,D56,3.0,mr
22,23,1,3,1,1,15.0,0,0,330923,8.0292,2.0,2.0,miss
23,24,1,1,3,0,28.0,0,0,113788,35.5,A6,3.0,mr
24,25,0,3,1,1,8.0,3,1,349909,0.843,3.0,3.0,miss
25,26,1,3,2,1,38.0,1,5,347077,0.6405612244897959,3.0,3.0,mrs
26,27,0,3,3,0,26.5,0,0,2631,7.225,1.0,1.0,mr
27,28,0,1,3,0,19.0,3,2,19950,7.305555555555556,C23 C25 C27,3.0,mr
28,29,1,3,1,1,21.8,0,0,330959,7.8792,2.0,2.0,miss
29,30,0,3,3,0,26.5,0,0,349216,7.8958,3.0,3.0,mr
30,31,0,1,5,0,40.0,0,0,PC 17601,27.7208,1.0,1.0,don
31,32,1,1,2,1,34.6,1,0,PC 17569,36.6302,B78,1.0,mrs
32,33,1,3,1,1,21.8,0,0,335677,7.75,2.0,2.0,miss
33,34,0,2,3,0,66.0,0,0,C.A. 24579,10.5,3.0,3.0,mr
34,35,0,1,3,0,28.0,1,0,PC 17604,20.5427,1.0,1.0,mr
35,36,0,1,3,0,42.0,1,0,113789,13.0,3.0,3.0,mr
36,37,1,3,3,0,26.5,0,0,2677,7.2292,1.0,1.0,mr
37,38,0,3,3,0,21.0,0,0,A./5. 2152,8.05,3.0,3.0,mr
38,39,0,3,1,1,18.0,2,0,345764,2.0,3.0,3.0,miss
39,40,1,3,1,1,14.0,1,0,2651,2.810425,1.0,1.0,miss
40,41,0,3,2,1,40.0,1,0,7546,2.36875,3.0,3.0,mrs
41,42,0,2,2,1,27.0,1,0,11668,5.25,3.0,3.0,mrs
42,43,0,3,3,0,26.5,0,0,349253,7.8958,1.0,1.0,mr
43,44,1,2,1,1,3.0,1,2,SC/Paris 2123,2.5987,1.0,1.0,miss
44,45,1,3,1,1,19.0,0,0,330958,7.8792,2.0,2.0,miss
45,46,0,3,3,0,26.5,0,0,S.C./A.4. 23567,8.05,3.0,3.0,mr
46,47,0,3,3,0,26.5,1,0,370371,3.875,2.0,2.0,mr
47,48,1,3,1,1,21.8,0,0,14311,7.75,2.0,2.0,miss
