,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,sex_int,title,title_num,emb_num,norm_price,Age_new
0,1,0,3,3,0,22.0,1,0,A/5 21171,3.625,S,3.0,0,mr,3,3.0,3.625,22.0
1,2,1,1,2,1,38.0,1,0,PC 17599,35.64165,C85,1.0,1,mrs,2,1.0,35.64165,38.0
2,3,1,3,1,1,26.0,0,0,STON/O2. 3101282,7.925,S,3.0,1,miss,1,3.0,7.925,26.0
3,4,1,1,2,1,35.0,1,0,113803,26.55,C123,3.0,1,mrs,2,3.0,26.55,35.0
4,5,0,3,3,0,35.0,0,0,373450,8.05,S,3.0,0,mr,3,3.0,8.05,35.0
5,6,0,3,3,0,26.5,0,0,330877,8.4583,Q,2.0,0,mr,3,2.0,8.4583,26.5
6,7,0,1,3,0,54.0,0,0,17463,51.8625,E46,3.0,0,mr,3,3.0,51.8625,54.0
7,8,0,3,6,0,2.0,3,1,349909,4.215,S,3.0,0,master,6,3.0,4.215,2.0
8,9,1,3,2,1,27.0,0,2,347742,3.7111,S,3.0,1,mrs,2,3.0,3.7111,27.0
9,10,1,2,2,1,14.0,1,0,237736,15.0354,C,1.0,1,mrs,2,1.0,15.0354,14.0
10,11,1,3,1,1,4.0,1,1,PP 9549,5.566666666666666,G6,3.0,1,miss,1,3.0,5.566666666666666,4.0
11,12,1,1,1,1,58.0,0,0,113783,26.55,C103,3.0,1,miss,1,3.0,26.55,58.0
12,13,0,3,3,0,20.0,0,0,A/5. 2151,8.05,S,3.0,0,mr,3,3.0,8.05,20.0
13,14,0,3,3,0,39.0,1,5,347082,4.4678571428571425,S,3.0,0,mr,3,3.0,4.4678571428571425,39.0
14,15,0,3,1,1,14.0,0,0,350406,7.8542,S,3.0,1,miss,1,3.0,7.8542,14.0
15,16,1,2,2,1,55.0,0,0,248706,16.0,S,3.0,1,mrs,2,3.0,16.0,55.0
16,17,0,3,6,0,2.0,4,1,382652,4.854166666666667,Q,2.0,0,master,6,2.0,4.854166666666667,2.0
17,18,1,2,3,0,30.7,0,0,244373,13.0,S,3.0,0,mr,3,3.0,13.0,30.7
18,19,0,3,2,1,31.0,1,0,345763,9.0,S,3.0,1,mrs,2,3.0,9.0,31.0
19,20,1,3,2,1,21.8,0,0,2649,7.225,C,1.0,1,mrs,2,1.0,7.225,21.8
20,21,0,2,3,0,35.0,0,0,239865,26.0,S,3.0,0,mr,3,3.0,26.0,35.0
21,22,1,2,3,0,34.0,0,0,248698,13.0,D56,3.0,0,mr,3,3.0,13.0,34.0
22,23,1,3,1,1,15.0,0,0,330923,8.0292,Q,2.0,1,miss,1,2.0,8.0292,15.0
23,24,1,1,3,0,28.0,0,0,113788,35.5,A6,3.0,0,mr,3,3.0,35.5,28.0
