iter	Logloss
0	0.6598335866
1	0.6375619267
2	0.6134766997
3	0.5914123621
4	0.571882055
5	0.5547682516
6	0.5396879389
7	0.5273670668
8	0.5162644976
9	0.5073640373
10	0.4976568329
11	0.4885867687
12	0.4802937025
13	0.4730574361
14	0.4667817019
15	0.4614253526
16	0.4567161303
17	0.4521618961
18	0.4491394129
19	0.4462321849
20	0.4424460336
21	0.4406310949
22	0.4370099614
23	0.4335871493
24	0.4311814469
25	0.4297504211
26	0.4270783757
27	0.425792094
28	0.4245056838
29	0.4226218234
30	0.4213613874
31	0.4195289183
32	0.4177833729
33	0.4167882084
34	0.4152971761
35	0.4141108481
36	0.4127240985
37	0.4125245341
38	0.4118032563
39	0.4104864571
40	0.4093588497
41	0.4090449301
42	0.4078318992
43	0.4071414819
44	0.4061147283
45	0.4056186462
46	0.4048962111
47	0.4042508415
48	0.4028604486
49	0.4021843042
50	0.4017655019
51	0.4010670694
52	0.4004081126
53	0.4000051691
54	0.3994720545
55	0.3986327782
56	0.3981360961
57	0.3975193581
58	0.3971040276
59	0.3969009485
60	0.396160983
61	0.3949663827
62	0.3941236775
63	0.3931565445
64	0.3926128002
65	0.3918695771
66	0.39055865
67	0.3901928677
68	0.3892550093
69	0.3888741825
70	0.3881968809
71	0.3868060166
72	0.3863982726
73	0.3856685938
74	0.3848720936
75	0.3846839733
76	0.3843876271
77	0.3837951489
78	0.3834746286
79	0.3831409069
80	0.3828642342
81	0.3817876752
82	0.3813630865
83	0.3809756161
84	0.3805659862
85	0.3801772728
86	0.3798871844
87	0.3798050613
88	0.3790683532
89	0.3788285845
