iter	Passed	Remaining
0	2	179
1	2	99
2	2	71
3	2	57
4	2	47
5	2	41
6	3	36
7	3	33
8	3	30
9	3	28
10	3	26
11	3	25
12	3	23
13	4	22
14	4	21
15	4	20
16	8	36
17	16	65
18	16	62
19	18	63
20	22	74
21	24	75
22	24	71
23	24	68
24	24	64
25	25	61
26	25	58
27	25	56
28	25	53
29	25	51
30	25	49
31	25	47
32	26	45
33	26	43
34	26	41
35	26	39
36	26	38
37	26	36
38	26	35
39	27	33
40	27	32
41	27	31
42	27	30
43	27	28
44	27	27
45	27	26
46	28	25
47	28	24
48	28	23
49	28	22
50	28	21
51	28	20
52	28	20
53	28	19
54	29	18
55	29	17
56	29	17
57	29	16
58	29	15
59	29	14
60	29	14
61	30	13
62	30	12
63	30	12
64	31	12
65	31	11
66	31	10
67	44	14
68	44	13
69	45	12
70	45	12
71	45	11
72	45	10
73	45	9
74	45	9
75	45	8
76	46	7
77	46	7
78	46	6
79	46	5
80	46	5
81	46	4
82	46	3
83	47	3
84	47	2
85	47	2
86	47	1
87	47	1
88	47	0
89	47	0
