,group,song_lines
0,Kaleo,home grounds
1,Kaleo,feels like the weight has been lifted away
2,Kaleo,"but if she leaves me there, i won't run"
3,Kaleo,"please pass it on, carry me down"
4,Kaleo,"all you need to know is i want more, more"
5,Kaleo,looking for more
6,Kaleo,"i want more, more"
7,Kaleo,'cause i want more
8,Kaleo,so light
9,Kaleo,"hold back the night, wait 'til it's right"
10,Kaleo,but then you fold your hand into mine
11,Kaleo,"watch as the waves, fall back into place"
12,Kaleo,so don't you leave me there wanting more
13,Kaleo,"more, like before, more"
14,Kaleo,"i want more, more"
15,Kaleo,"'cause i want more, ooh"
16,Kaleo,"turn back, leave all you had"
17,Kaleo,"forgive, i'll forget"
18,Kaleo,'cause what we need is what we once had
19,Kaleo,time won't stand still
20,Kaleo,just say you will
21,Kaleo,'cause i need you there and now
22,Kaleo,"if you leap, i'll come falling too"
23,Kaleo,running deep 'til that rivers through
24,Kaleo,i don't mind what you have to do
25,Kaleo,"'cause i won't think less, less of you"
26,Kaleo,"yes, i want more, more"
27,Kaleo,looking for more
28,Kaleo,"i want more, more"
29,Kaleo,'cause i want more
30,Kaleo,old grounds
31,Kaleo,feels like the weight has been lifted away
32,Kaleo,so don't you leave me there wanting more
33,Kaleo,"oh, father tell me, do we get what we deserve?"
34,Kaleo,"whoa, we get what we deserve"
35,Kaleo,
36,Kaleo,and way down we go
37,Kaleo,way down we go
38,Kaleo,say way down we go
39,Kaleo,way down we go
40,Kaleo,
41,Kaleo,you let your feet run wild
42,Kaleo,"time has come as we all, oh, go down"
43,Kaleo,"yeah but for the fall, ooh, my"
44,Kaleo,do you dare to look him right in the eyes? yeah
45,Kaleo,
46,Kaleo,"oh, 'cause they will run you down, down 'til the dark"
47,Kaleo,"yes and they will run you down, down 'til you fall"
48,Kaleo,"and they will run you down, down 'til you go"
49,Kaleo,"yeah, so you can't crawl no more"
50,Kaleo,
51,Kaleo,and way down we go
52,Kaleo,way down we go
53,Kaleo,say way down we go
54,Kaleo,"oh, 'cause they will run you down, down 'til you fall"
55,Kaleo,way down we go
56,Kaleo,
57,Kaleo,"oh baby, yeah"
58,Kaleo,"oh, baby"
59,Kaleo,baby
60,Kaleo,way down we go
61,Kaleo,yeah
62,Kaleo,
63,Kaleo,and way down we go
64,Kaleo,way down we go
65,Kaleo,"say way down we go, ooh"
66,Kaleo,way down we go
67,Kaleo,sun is down on east side
68,Kaleo,while we all turn a blind eye
69,Kaleo,you know i've got your back
70,Kaleo,but would you ever do that for me?
71,Kaleo,for me? for me? for me?
72,Kaleo,"billy boy, he's gifted"
73,Kaleo,you know you can't deny it
74,Kaleo,don't leave us empty handed
75,Kaleo,'cause you know we don't deserve that from you
76,Kaleo,"from you, from you, from you"
77,Kaleo,i want to break my baby
78,Kaleo,you know she loves to fake it
79,Kaleo,"i want to break my baby, yeah"
80,Kaleo,hold her down
81,Kaleo,bring her down now
82,Kaleo,"oh, now"
83,Kaleo,they'll take you in and spit you out
84,Kaleo,you're only worth how much you sell
85,Kaleo,"you've come too far, we both agree"
86,Kaleo,just give the people what they need
87,Kaleo,will you turn away
88,Kaleo,or will you take my place?
89,Kaleo,does it start to show
90,Kaleo,now that the pressure is on?
91,Kaleo,will they call my name
92,Kaleo,when it all goes up in flames?
93,Kaleo,"oh, will you be by my side?"
94,Kaleo,i want to break my baby
95,Kaleo,you know she loves to fake it
96,Kaleo,"i want to break my baby, yeah"
97,Kaleo,"oh, hold her down"
98,Kaleo,"oh, break it down now"
99,Kaleo,"oh, break down"
100,Kaleo,"woah, hold my love"
101,Kaleo,"woah, hold my love"
102,Kaleo,"woah, hold my love"
103,Kaleo,woah
104,Kaleo,break my baby (break my baby)
105,Kaleo,break my baby (break my baby)
106,Kaleo,break my baby (break my baby)
107,Kaleo,break my baby (break my baby)
108,Kaleo,you know she loves to fake it
109,Kaleo,break my baby
110,Kaleo,i got two strong legs
111,Kaleo,"whoa, just like my father said, yeah"
112,Kaleo,"""on your feet, little man"
113,Kaleo,"now go out and take what you can"""
114,Kaleo,"oh, yeah"
115,Kaleo,you've got the win in your bag
116,Kaleo,"don't you go home and cry, no"
117,Kaleo,"whoa, yeah, nah"
118,Kaleo,"whoa, yeah"
119,Kaleo,woo-hoo-hoo
120,Kaleo,i've got a leather room
121,Kaleo,"whoa, but babe when you touch me with it, yeah"
122,Kaleo,"oh, i feel i'm 'bout to break, yeah"
123,Kaleo,"oh, don't leave me this way, don't leave me"
124,Kaleo,"oh, no"
125,Kaleo,you feel the rush in your head
126,Kaleo,this is the time to attend
127,Kaleo,there's nothin' holdin' you back
128,Kaleo,"now, go ahead"
129,Kaleo,"so maybe i'm not the same, oh no"
130,Kaleo,but i might just be the one
131,Kaleo,"so, baby, don't hurt yourself, oh no"
132,Kaleo,"said, i might just be, i might just be the one"
133,Kaleo,"and maybe i'm not the same, oh"
134,Kaleo,but i might just be the one
135,Kaleo,"so, baby, don't hurt yourself, oh no"
136,Kaleo,"said, i might just be, i might just be the one"
137,Kaleo,who you with? you got fooled again
138,Kaleo,"whoa, and someone's out to get ya, yeah"
139,Kaleo,"whoa, i'm comin' back around for you"
140,Kaleo,"whoa, they're callin' me back so i better go, now"
141,Kaleo,"whoa, yeah"
142,Kaleo,you feel the rush in your head
143,Kaleo,this is the time to attack
144,Kaleo,you've got to win in your bag
145,Kaleo,"now, go ahead"
146,Kaleo,lately i'm not the same
147,Kaleo,i might just be the one
148,Kaleo,"so, baby, don't hurt yourself"
149,Kaleo,"said, i might, i, i might just be the one"
150,Kaleo,"no, lately i'm not the same, no"
151,Kaleo,"ooh, i might just be the one, yeah-yeah"
152,Kaleo,"oh, baby, don't hurt yourself, no"
153,Kaleo,"see, i might just be, come on, let's go"
154,Kaleo,all the pretty girls like samuel
155,Kaleo,"oh, he really doesn't share"
156,Kaleo,although it's more than he can handle
157,Kaleo,"life is anything but fair, life is anything but fair"
158,Kaleo,"oh oh, oh oh ooh"
159,Kaleo,"oh oh, oh oh"
160,Kaleo,just as soon as they turn older
161,Kaleo,he'll come and sweep them off their feet
162,Kaleo,it's only making me feel smaller
163,Kaleo,all the hidden love beneath
164,Kaleo,"so won't you lay me, won't you lay me down"
165,Kaleo,"won't you lay me, won't you lay me down"
166,Kaleo,"won't you lay me, won't you lay me down"
167,Kaleo,"you lay me, won't you lay me down"
168,Kaleo,"all alone, alone again"
169,Kaleo,no one lends a helping hand
170,Kaleo,"i have waited, i have waited"
171,Kaleo,"takes it's toll, my foolish pride"
172,Kaleo,how long before i see the light
173,Kaleo,"i have waited, i have waited"
174,Kaleo,for you to lay me down
175,Kaleo,"sail on by, sail on by for now"
176,Kaleo,they play naked in the water
177,Kaleo,"you know it's hard, heaven knows i've tried"
178,Kaleo,but it just keeps getting harder
179,Kaleo,"so won't you lay me, won't you lay me down"
180,Kaleo,"won't you lay me, won't you lay me down"
181,Kaleo,"won't you lay me, won't you lay me down"
182,Kaleo,"won't you lay me, won't you lay "
183,Kaleo,"oh, won't you lay me, oh won't you lay me down"
184,Kaleo,"won't you lay me, oh won't you lay me down"
185,Kaleo,"oh, won't you lay me, won't you lay me down"
186,Kaleo,won't you lay me down
187,Kaleo,"oh, i'll wait, i'll wait, i'll wait, i'll wait for you"
188,Kaleo,"yeah, i'll wait, i'll wait, i'll wait, i'll wait for you"
189,Kaleo,"oh, i'll wait, i'll wait, i'll wait, i'll wait for you"
190,Kaleo,"oh, i'll wait, i'll wait, i'll wait, i'll wait for you"
191,Kaleo,"for you to lay me, won't you let me down"
192,Kaleo,"hold the line, yeah"
193,Kaleo,do you fight for pride or glory?
194,Kaleo,do you hold your scars close to your heart?
195,Kaleo,"fall behind, yeah"
196,Kaleo,who will live to tell your story?
197,Kaleo,you were taught to leave no man behind
198,Kaleo,i don't know where you have gone
199,Kaleo,you used to be the heart of this town
200,Kaleo,now you waste your tears on someone else
201,Kaleo,i don't know where you are now
202,Kaleo,you used to have a heart of gold
203,Kaleo,only trust yourself and no one else
204,Kaleo,"hold your fire, yeah"
205,Kaleo,brave young men will fall before they
206,Kaleo,ever get to watch their young ones grow
207,Kaleo,"hear me now, yeah"
208,Kaleo,carry all my sins and i will
209,Kaleo,learn to love the flag and nothing more
210,Kaleo,"oh, i don't know where you have gone"
211,Kaleo,you used to be the heart of this town
212,Kaleo,wasted all your tears on someone else
213,Kaleo,i don't know where you are now
214,Kaleo,you used to have a heart of gold
215,Kaleo,only trust yourself and no one else
216,Kaleo,"oh, no one else"
217,Kaleo,"oh, oh"
218,Kaleo,"oh, oh"
219,Kaleo,you've got your back against the wall
220,Kaleo,"say, where's your backbone, brother?"
